geography_id,city,region,country,fiu_zone,is_high_risk_zone,latitude,longitude
GEO001,Delhi,North,India,Zone-N,1,17.977,84.4039
GEO002,Chandigarh,North,India,Zone-N,0,17.3265,75.8426
GEO003,Jaipur,North,India,Zone-N,0,8.7558,85.3164
GEO004,Lucknow,North,India,Zone-N,0,8.8498,91.51
GEO005,Amritsar,North,India,Zone-N,0,16.147,91.451
GEO006,Bengaluru,South,India,Zone-S,1,21.6788,78.3656
GEO007,Chennai,South,India,Zone-S,0,24.9357,74.7501
GEO008,Hyderabad,South,India,Zone-S,0,12.6291,75.1879
GEO009,Kochi,South,India,Zone-S,0,14.9934,83.477
GEO010,Coimbatore,South,India,Zone-S,0,30.9459,89.3747
GEO011,Kolkata,East,India,Zone-E,0,30.1574,95.4863
GEO012,Bhubaneswar,East,India,Zone-E,0,24.6951,96.4973
GEO013,Patna,East,India,Zone-E,0,19.2643,95.121
GEO014,Guwahati,East,India,Zone-E,0,36.7547,73.0376
GEO015,Ranchi,East,India,Zone-E,0,14.86,77.2221
GEO016,Mumbai,West,India,Zone-W,1,29.405,78.4047
GEO017,Pune,West,India,Zone-W,0,25.1553,88.4001
GEO018,Ahmedabad,West,India,Zone-W,0,18.1988,84.4619
GEO019,Surat,West,India,Zone-W,0,12.121,95.5027
GEO020,Nagpur,West,India,Zone-W,0,32.2642,91.5016
GEO021,Bhopal,Central,India,Zone-C,0,36.1412,83.7216
GEO022,Indore,Central,India,Zone-C,0,13.0911,69.1009
GEO023,Raipur,Central,India,Zone-C,0,9.6289,85.4482
GEO024,Jabalpur,Central,India,Zone-C,0,8.5779,81.8617
GEO025,Gwalior,Central,India,Zone-C,0,17.6203,85.8099
